title_length,title_word_count,title_has_numbers,title_has_exclamation,title_has_question,title_has_caps,title_viral_words,description_length,description_word_count,has_description,tags_count,has_tags,language_encoded,video_age_days,publish_hour,publish_day_of_week
71,14,1,0,0,0,0,428,62,1,35,1,7,2,0,2
58,9,0,0,0,1,0,181,23,1,1,0,38,1,0,2
38,6,0,0,0,0,0,195,28,1,1,0,18,1,0,5
37,6,0,0,0,1,0,1872,319,1,53,1,4,2,0,4
69,12,1,1,0,1,0,44,4,1,6,1,18,3,0,3
58,9,1,0,0,1,0,0,0,0,1,0,38,2,0,3
58,7,0,1,1,1,0,300,28,1,4,1,18,4,0,4
40,6,0,0,0,0,0,1011,109,1,1,1,18,3,0,3
61,10,1,0,0,1,0,376,45,1,35,1,18,4,0,0
88,14,1,0,0,0,0,2280,329,1,17,1,4,3,0,0
100,11,1,1,1,1,0,447,23,1,1,0,18,2,0,0
55,9,0,0,0,0,0,469,47,1,20,1,18,4,0,1
49,9,1,0,0,1,0,366,49,1,5,1,18,5,0,3
100,17,1,0,0,0,0,557,86,1,24,1,38,1,0,1
52,10,1,0,0,1,0,133,7,1,1,0,4,1,0,3
72,12,1,0,0,0,0,1300,134,1,18,1,18,2,0,3
64,10,0,0,0,0,0,1501,206,1,1,0,18,1,0,3
80,12,0,0,0,1,0,581,58,1,37,1,18,7,0,4
40,7,1,1,0,1,1,380,46,1,2,1,38,2,0,6
39,6,0,1,0,1,0,161,17,1,7,1,18,7,0,5
63,12,1,1,0,1,0,308,36,1,37,1,18,2,0,1
100,18,1,1,0,1,0,354,53,1,9,1,18,4,0,0
70,14,1,0,0,1,0,426,52,1,16,1,18,1,0,1
85,11,0,1,0,1,0,617,82,1,8,1,4,2,0,6
68,12,1,0,0,1,0,0,0,0,1,0,18,0,0,2
39,7,0,1,0,0,0,770,72,1,1,0,4,2,0,1
65,12,0,0,0,1,0,0,0,0,1,0,18,3,0,4
48,8,1,0,0,1,0,1012,104,1,13,1,18,2,0,1
83,13,0,0,0,1,0,3082,390,1,13,1,22,4,0,3
34,6,0,0,0,1,0,226,29,1,5,1,18,0,0,5
79,13,0,0,0,1,0,216,30,1,23,1,18,3,0,4
63,10,1,0,0,1,0,408,41,1,4,1,18,2,0,6
87,15,0,0,0,1,0,1136,109,1,2,1,18,2,0,6
45,8,0,1,0,1,0,757,110,1,25,1,18,5,0,1
64,11,1,0,0,1,0,585,46,1,12,1,18,4,0,2
38,6,0,0,0,1,1,3156,454,1,4,1,24,3,0,4
29,7,0,1,0,0,0,176,25,1,5,1,9,2,0,6
88,15,1,0,0,1,0,445,73,1,28,1,24,2,0,2
54,10,1,0,0,1,0,395,39,1,29,1,24,3,0,2
87,14,0,1,0,1,0,137,19,1,10,1,4,5,0,3
41,5,1,1,0,1,0,149,24,1,5,1,18,3,0,4
43,7,0,0,0,1,0,2289,427,1,11,1,24,3,0,3
66,11,0,0,0,1,0,0,0,0,1,0,38,1,0,6
87,15,0,0,0,1,0,1309,129,1,9,1,18,1,0,4
22,4,0,0,0,0,0,634,65,1,1,1,18,1,0,2
13,2,0,0,0,1,0,358,25,1,66,1,4,3,0,0
25,5,0,0,0,1,0,451,45,1,12,1,24,3,0,4
81,13,0,0,0,1,0,145,16,1,3,1,18,1,0,4
36,6,0,1,0,1,0,140,20,1,1,0,38,3,0,2
51,9,1,0,0,1,0,0,0,0,1,0,18,2,0,6
53,10,1,0,0,1,0,1151,107,1,7,1,18,2,0,1
52,8,0,0,0,1,0,1713,257,1,16,1,18,4,0,0
57,10,0,0,0,1,0,768,61,1,3,1,4,1,0,4
23,3,0,1,0,1,0,0,0,0,1,0,38,2,0,3
57,10,0,0,0,1,0,2582,395,1,15,1,18,1,0,4
88,13,1,0,0,0,0,0,0,0,1,0,18,3,0,2
43,8,1,0,0,1,0,1012,104,1,13,1,18,1,0,3
77,11,0,0,0,0,0,574,83,1,27,1,38,1,0,0
6,1,0,0,0,0,0,523,81,1,9,1,38,6,0,3
43,7,0,0,0,1,0,501,39,1,1,0,18,1,0,6
74,12,0,1,0,1,0,481,57,1,1,0,18,4,0,6
65,11,0,0,0,1,0,456,75,1,3,1,4,1,0,6
60,8,0,1,0,1,0,1314,114,1,52,1,45,1,0,1
100,17,1,0,0,0,0,604,59,1,26,1,4,1,0,5
13,1,0,1,0,1,0,0,0,0,1,0,38,3,0,3
40,8,0,1,0,1,0,453,45,1,1,0,9,1,0,2
40,7,0,1,0,0,1,367,57,1,24,1,18,5,0,2
38,6,0,0,0,0,0,88,6,1,1,0,18,3,0,5
100,17,1,0,0,1,0,660,75,1,25,1,18,5,0,3
42,6,1,0,0,1,0,376,45,1,35,1,18,2,0,2
55,10,0,0,0,0,0,405,44,1,37,1,18,3,0,3
