feature,importance
view_count,0.42071108570725085
channel_viral_history,0.19631912808745094
like_count,0.1585076845550289
comment_count,0.10870895906768517
channel_encoded,0.02974181454762204
title_length,0.016909223900161162
engagement_rate,0.012451077256435867
like_view_ratio,0.012199254686094868
comment_view_ratio,0.011576621742721855
language_encoded,0.01032698187592422
title_word_count,0.0066982966949618115
description_length,0.0051905849855086415
description_word_count,0.00334810216195462
video_age_days,0.0017473137992065904
tags_count,0.0017426087143248194
daily_movement,0.0016659899767651793
title_has_exclamation,0.0008540612980560543
title_has_numbers,0.0008428781863896868
has_tags,0.00040457532139831357
has_description,5.3757435058535307e-05
