feature,importance
language_encoded,0.18717161277357927
title_length,0.16471384555301938
description_length,0.13654005001319547
description_word_count,0.1346973151914222
title_word_count,0.09901517033386723
tags_count,0.0945914248034855
video_age_days,0.04518672095188374
publish_day_of_week,0.042592135725856343
title_has_numbers,0.024846943124521407
title_has_caps,0.02400673906760259
title_has_exclamation,0.020989784962449395
has_tags,0.013548961219637601
has_description,0.00507853608207422
title_has_question,0.004624921918643358
title_viral_words,0.002291015060661687
publish_hour,0.00010482321810065751
